date,totalPassengers
2016-12-22,2437.0
2016-12-23,3694.0
2016-12-24,2463.0
2016-12-25,2708.0
2016-12-26,2342.0
2016-12-27,2282.0
2016-12-28,3749.0
2016-12-29,5110.0
2016-12-30,7607.0
2016-12-31,4891.0
2017-01-01,3351.0
2017-01-02,6557.0
2017-01-03,7830.0
2017-01-04,7202.0
2017-01-05,7233.0
2017-01-06,6011.0
2017-01-07,5014.0
2017-01-08,5236.0
2017-01-09,3916.0
2017-01-10,2613.0
2017-01-11,1959.0
2017-01-12,1956.0
2017-01-13,2747.0
2017-01-14,2297.0
2017-01-15,2879.0
2017-01-16,2171.0
2017-01-17,1789.0
2017-01-18,2035.0
2017-01-19,2367.0
2017-01-20,3860.0
2017-01-21,2048.0
2017-01-22,2768.0
2017-01-23,1978.0
2017-01-24,1965.0
2017-01-25,2362.0
2017-01-26,3157.0
2017-01-27,4374.0
2017-01-28,2401.0
2017-01-29,3257.0
2017-01-30,2431.0
2017-01-31,2146.0
2017-02-01,2238.0
2017-02-02,2886.0
2017-02-03,3802.0
2017-02-04,2671.0
2017-02-05,3682.0
2017-02-06,2081.0
2017-02-07,1769.0
2017-02-08,2341.0
2017-02-09,3091.0
2017-02-10,3904.0
2017-02-11,2179.0
2017-02-12,3301.0
2017-02-13,2316.0
2017-02-14,1813.0
2017-02-15,2238.0
2017-02-16,3015.0
2017-02-17,4154.0
2017-02-18,2536.0
2017-02-19,3303.0
2017-02-20,2416.0
2017-02-21,3457.0
2017-02-22,7701.0
2017-02-23,7467.0
2017-02-24,1516.0
2017-02-25,3423.0
2017-02-26,6036.0
2017-02-27,2812.0
2017-02-28,1792.0
2017-03-01,1940.0
2017-03-02,2722.0
2017-03-03,3814.0
2017-03-04,2475.0
2017-03-05,3151.0
2017-03-06,2082.0
2017-03-07,1869.0
2017-03-08,1887.0
2017-03-09,2179.0
2017-03-10,3680.0
2017-03-11,2287.0
2017-03-12,3665.0
2017-03-13,2423.0
2017-03-14,2191.0
2017-03-15,2417.0
2017-03-16,3503.0
2017-03-17,4517.0
2017-03-18,2700.0
2017-03-19,3856.0
2017-03-20,2767.0
2017-03-21,2239.0
2017-03-22,2823.0
2017-03-23,4381.0
2017-03-24,6379.0
2017-03-25,5543.0
2017-03-26,5197.0
2017-03-27,3874.0
2017-03-28,3095.0
2017-03-29,3329.0
2017-03-30,4143.0
2017-03-31,5532.0
2017-04-01,5097.8175541944065
2017-04-02,4875.954335303367
2017-04-03,3964.538161800925
2017-04-04,3426.022594811984
2017-04-05,3605.385395073026
2017-04-06,4189.987329186203
2017-04-07,5187.138260926925
2017-04-08,4760.136841004788
2017-04-09,4647.99520445404
2017-04-10,4097.92494190017
2017-04-11,3768.941869130089
2017-04-12,3901.302483945385
2017-04-13,4286.2130592868225
2017-04-14,4938.7411312111
2017-04-15,4597.9177394044245
2017-04-16,4569.908273829488
2017-04-17,4298.262788864576
2017-04-18,4123.962603369036
2017-04-19,4223.129048042966
2017-04-20,4461.6505875466055
2017-04-21,4845.998283150885
2017-04-22,4619.461533428358
2017-04-23,4642.939170749271
2017-04-24,4560.546854179291
2017-04-25,4470.598602054619
2017-04-26,4555.74428399738
2017-04-27,4718.397580018743
2017-04-28,4913.60052346364
2017-04-29,4779.670281719223
2017-04-30,4817.257261031962
2017-05-01,4852.398352881759
2017-05-02,4764.465637927377
2017-05-03,4861.935876420182
2017-05-04,5035.949214037803
2017-05-05,5101.086380600752
2017-05-06,5005.110228620081
2017-05-07,5014.651450833338
2017-05-08,5125.998144408699
2017-05-09,4943.435002594128
2017-05-10,5090.415363455303
2017-05-11,5384.870030029443
2017-05-12,5349.335280330949
2017-05-13,5223.77982948666
2017-05-14,5158.284443391525
2017-05-15,5335.325938802985
2017-05-16,4945.652287569265
2017-05-17,5191.7797501458635
2017-05-18,5739.962234489695
2017-05-19,5607.868590095099
2017-05-20,5388.309568140886
2017-05-21,5199.316291688146
2017-05-22,5453.193417143347
2017-05-23,4736.529890668052
2017-05-24,5138.974399254211
2017-05-25,6086.993811735275
2017-05-26,5850.779862673811
2017-05-27,5487.205000012924
2017-05-28,5132.984427453589
2017-05-29,5482.6632902486745
2017-05-30,4333.654194477903
2017-05-31,4944.603274956286
2017-06-01,6422.66599392147
2017-06-02,6078.0
2017-06-03,5543.0
2017-06-04,4999.0
2017-06-05,5458.0
2017-06-06,3814.0
2017-06-07,4665.0
2017-06-08,6751.0
2017-06-09,9869.0
2017-06-10,9977.0
2017-06-11,4593.0
2017-06-12,6711.0
2017-06-13,5993.0
2017-06-14,5073.0
2017-06-15,5951.0
2017-06-16,6607.0
2017-06-17,6251.0
2017-06-18,5880.0
2017-06-19,5053.0
2017-06-20,5524.0
2017-06-21,4835.0
2017-06-22,6249.0
2017-06-23,8083.0
2017-06-24,6974.0
2017-06-25,6283.0
2017-06-26,4618.0
2017-06-27,5680.0
2017-06-28,5806.0
2017-06-29,7175.0
2017-06-30,8911.0
2017-07-01,6217.0
2017-07-02,6919.0
2017-07-03,6776.0
2017-07-04,5774.0
2017-07-05,5563.0
2017-07-06,7452.0
2017-07-07,7970.0
2017-07-08,7537.0
2017-07-09,6394.0
2017-07-10,7260.0
2017-07-11,6288.0
2017-07-12,6107.0
2017-07-13,7268.0
2017-07-14,8146.0
